name,category,unit,calories,protein_g,carbs_g,fat_g,fibre_g,allergen_tags,source,source_code,data_confidence
"Flour, almond",Proteins,100g,622.04,26.24,16.25,50.23,9.27,"Gluten, Nuts",USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2261420,measured
"Flour, amaranth",Grains,100g,384.08,13.21,68.78,6.24,7.21,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512371,measured
"Flour, barley",Grains,100g,366.53,8.72,77.4,2.45,12.79,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512376,measured
"Flour, buckwheat",Grains,100g,357.97,8.88,75.02,2.48,10.35,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512374,measured
"Flour, cassava",Vegetables,100g,357.37,0.92,87.31,0.49,4.83,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512377,measured
"Flour, chestnut",Proteins,100g,384.67,5.29,80.45,4.64,8.71,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2515377,measured
"Flour, coconut",Proteins,100g,437.68,16.14,58.9,15.28,34.24,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2515382,measured
"Flour, corn, yellow, fine meal, enriched",Grains,100g,364.0,6.2,80.8,1.74,4.3,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_790276,measured
"Flour, oat, whole grain",Grains,100g,389.12,13.17,69.92,6.31,10.5,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2261421,measured
"Flour, potato",Vegetables,100g,360.78,8.11,79.94,0.95,5.4,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2261422,measured
"Flour, quinoa",Grains,100g,385.2,11.92,69.52,6.6,6.3,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512372,measured
"Flour, rice, white, unenriched",Grains,100g,359.0,6.94,79.8,1.3,0.5,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_790214,measured
"Flour, rye",Grains,100g,359.4,8.4,77.16,1.91,13.68,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512375,measured
"Flour, semolina, coarse and semi-coarse",Grains,100g,356.59,11.73,73.82,1.6,3.22,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003588,measured
"Flour, semolina, fine",Grains,100g,357.81,13.33,71.99,1.84,3.68,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003589,measured
"Flour, sorghum",Grains,100g,374.93,8.27,77.39,3.59,6.02,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512373,measured
